BE-400|1.77|1.56
BE-401|2.15|1.89
BE-402|2.84|2.5
BE-403|4.95|4.36
BE-405|3.4|2.99
BE-406|3.1|2.73
BE-407|4.69|4.13
BE-409|6.2|5.46
BE-410|10.72|9.43
BE-411|4.95|4.36
BE-412|6.2|5.46
BE-413|6.47|5.69
BE-415|12.78|11.25
BE-416|17.02|14.98
BE-417|6.83|6.01
BE-418|7.09|6.24
BE-419|7.35|6.47
BE-420|12.59|11.08
BE-421|13.23|11.64
BE-422|22.31|19.63
BE-423|11.52|10.14
BE-424|15.44|13.59
BE-425|21.8|19.18
BE-427|13.15|11.57
BE-428|19.14|16.84
BE-429|20.83|18.33
BE-430|31.02|27.3
BE-431|28.22|24.83
BE-432|35.98|31.66
BE-433|37.97|33.41
BE-434|54.07|47.58
BE-436|48.83|42.97
BE-437|78.59|69.16
BE-438|59.39|52.26
BE-439|73.42|64.61
BE-440|98.98|87.1
BE-441|83.32|73.32
BE-443|121.58|106.99
BE-500|7.83|6.89
BE-501|9.68|8.52
BE-502|9.24|8.13
BE-504|9.9|8.71
BE-505|9.75|8.58
BE-506|11.52|10.14
BE-507|11.16|9.82
BE-508|12.05|10.6
BE-509|21.13|18.59
BE-510|25.26|22.23
BE-511|22.09|19.44
BE-512|26.74|23.53
BE-513|12.34|10.86
BE-514|13.59|11.96
BE-515|13.74|12.09
BE-516|13.97|12.29
BE-517|18.32|16.12
BE-518|21.13|18.59
BE-519|23.93|21.06
BE-520|27.48|24.18
BE-522|21.8|19.18
BE-523|29.18|25.68
BE-524|37.16|32.7
BE-525|22.53|19.83
BE-526|30.07|26.46
BE-527|38.11|33.54
