MC-400|20|7.93|6.7
MC-401|20|8.59|7.26
MC-402|20|6.87|5.81
MC-403|20|11.95|10.1
MC-406|30|16.17|13.66
MC-407|30|10.64|8.99
MC-409|30|16.1|13.61
MC-411|20|11.81|9.98
MC-413|20|17.23|14.56
MC-414|20|24.06|20.33
MC-417|18|15.04|12.71
MC-419|18|18.8|15.89
MC-420|18|25.44|21.5
MC-422|12|37.77|31.91
MC-423|10|37.73|31.88
MC-424|10|39.76|33.59
MC-425|10|63.39|53.57
MC-426|10|39.27|33.19
MC-428|10|43.4|36.67
MC-430|6|67.1|56.7
MC-431|6|48.92|41.34
MC-432|6|57.07|48.22
MC-433|6|61.95|52.34
MC-434|4|92.31|78
MC-435|3|77.64|65.6
MC-436|3|90.31|76.31
MC-438|2|118.65|100.26
MC-440|2|247.73|209.33
MC-441|2|158.37|133.82
MC-442|2|272.45|230.22
MC-443|2|217.05|183.41
MC-600|30|3.37|2.85
MC-601|30|3.48|2.94
MC-602|30|2.03|1.71
MC-602A|30|2.93|2.48
MC-603|30|2.27|1.92
MC-605|30|3.53|2.98
MC-609|20|12.02|10.15
MC-612|10|18.85|15.93
MC-614|10|26.93|22.76
MC-615|10|21.21|17.92
MC-616|10|37.75|31.9
MC-617|8|29.35|24.8
MC-618|8|46.87|39.61
MC-619|5|37.85|31.98
MC-621|2|46.1|38.95
MC-623|2|58.19|49.17
MC-625|2|70.94|59.94
MC-626|2|130.8|110.52
MC-700|30|5.28|4.46
MC-701|30|2.24|1.89
MC-702|30|5.31|4.49
MC-703|30|4.76|4.03
MC-704|20|5.06|4.28
MC-705|20|10.18|8.6
MC-706|20|8.98|7.58
MC-707|20|12.8|10.82
MC-709|20|18.16|15.34
MC-710|10|21.77|18.39
MC-711|10|30.68|25.92
MC-712|10|24.29|20.52
MC-714|6|31.97|27.01
MC-716|5|54.43|45.99
MC-717|4|73.32|61.95
MC-718|2|90.03|76.07
MC-719|2|173.59|146.68
MC-720|2|217.03|183.39
MC-500|20|15.79|13.34
MC-501|20|19.04|16.09
MC-502|20|13.73|11.6
MC-504|20|15.81|13.36
MC-505|20|20.88|17.64
MC-506|20|24.7|20.87
MC-507|20|18.63|15.75
MC-508|20|20.79|17.57
MC-510|10|37.66|31.82
MC-511|10|26.1|22.06
MC-512|10|34.7|29.32
MC-513|20|28.78|24.32
MC-514|20|24.99|21.12
MC-515|20|16.85|14.24
MC-516|20|19.71|16.66
MC-521|10|31.96|27.01
MC-522|10|23.25|19.65
MC-523|10|39.7|33.55
MC-524|10|36.95|31.22
MC-525|10|27.98|23.64
MC-526|10|39.91|33.72
MC-527|10|28.02|23.68
TM-100|20|5.67|4.79
TM-101|20|7.4|6.25
TM-102|20|6.74|5.7
TM-103|20|7.45|6.3
TM-105|20|7.29|6.16
TM-106|20|9.02|7.62
TM-108|20|10.24|8.66
TM-109|10|7.76|6.56
TM-110|10|9.06|7.65
TM-111|10|14.12|11.93
TM-112|10|16.7|14.11
TM-113|20|8.9|7.52
TM-114|20|10.62|8.98
TM-117|10|14.01|11.84
TM-119|10|16.7|14.11
TM-121|10|14.02|11.85
TM-123|10|20.16|17.03
TM-124|10|23.82|20.13
TM-126|10|23.29|19.68
CM-501|1|22.43|17.6
CM-502|1|24.9|19.55
CM-503|1|23.21|18.22
CM-504|1|22.95|18.02
CM-509|1|36.28|28.48
CM-510|1|36.31|28.5
CM-511|1|36.72|28.82
CM-513|1|37.67|29.57
CM-517|1|61.1|47.97
CM-519|1|63.82|50.1
CM-551|1|24.02|18.85
CM-552|1|24.27|19.05
CM-558|1|33.92|26.62
CM-559|1|34.97|27.45
CM-561|1|37.17|29.18
CM-568|1|63.64|49.96
CM-571|1|65.97|51.78
CM-602|1|21.91|17.2
CM-604|1|20.55|16.13
CM-606|1|21.37|16.78
CM-607|1|21.49|16.87
CM-608|1|25.87|20.31
CM-609|1|22.53|17.69
CM-611|1|34.37|26.98
CM-613|1|36.87|28.95
CM-616|1|62.85|49.34
CM-588|1|36.56|28.7
CM-598|1|64.9|50.95
CM-599|1|63.11|49.54
CM-539|1|37.06|29.09
CM-540|1|36.95|29
CM-543|1|62.61|49.15
CM-544|1|61.16|48.01
CM-546|1|65.8|51.65
CM-628|1|36.63|28.75
CM-633|1|37.53|29.46
CM-634|1|36.77|28.87
